SUCFUMthr: Minimum = 0.0, Maximum = 997.6537485774962, Range = 997.6537485774962
ATPS: Minimum = 0.0, Maximum = 898.4565872799202, Range = 898.4565872799202
HCO3_h_ti: Minimum = 0.0, Maximum = 0.0, Range = 0.0
H2Oth: Minimum = -1000.0, Maximum = 1000.0, Range = 2000.0
THRNA1th: Minimum = -1000.0, Maximum = 999.4928831154757, Range = 1999.4928831154757
H2th: Minimum = -86.5409647380813, Maximum = 2.1582193770336215, Range = 88.69918411511492
THRth: Minimum = -1000.0, Maximum = 999.4928831154756, Range = 1999.4928831154757
TRPth: Minimum = -0.007457601243006512, Maximum = -0.007457601243004879, Range = 1.6332421526321639e-15
TSULth: Minimum = 0.0, Maximum = 0.0, Range = 0.0
HISt2r: Minimum = 0.0, Maximum = 0.0, Range = 0.0
HYXNt: Minimum = 0.0, Maximum = 0.0, Range = 0.0
TYRth: Minimum = -2.1656769782770344, Maximum = -0.00745760124300488, Range = 2.1582193770340297
HCO3_h_thi: Minimum = 0.3542881681812013, Maximum = 1000.0, Range = 999.6457118318187
UDPGALth: Minimum = 4.6991118047966145, Maximum = 4.6991118047948115, Range = -1.8030021919912542e-12
UDPGth: Minimum = 0.08865750104927478, Maximum = 0.08865750104926533, Range = -9.450773497121645e-15
HCYSth: Minimum = -0.014915202486035516, Maximum = -0.014915202486009718, Range = 2.5798807534727075e-14
UDPth: Minimum = -4.699111804796631, Maximum = -4.699111804796614, Range = 1.7763568394002505e-14
UMPth: Minimum = 4.699111804796595, Maximum = 4.699111804795858, Range = -7.371880883511039e-13
VALth: Minimum = 0.0, Maximum = 240.24743883918404, Range = 240.24743883918404
5FLURAt: Minimum = 0.0, Maximum = 0.0, Range = 0.0
5FTHFt: Minimum = 0.0, Maximum = 0.0, Range = 0.0
6MPURt: Minimum = 0.0, Maximum = 0.0, Range = 0.0
LEUtec: Minimum = 0.0, Maximum = 0.0, Range = 0.0
LIDOt: Minimum = 0.0, Maximum = 0.0, Range = 0.0
HGENTISth: Minimum = 0.0, Maximum = 0.0, Range = 0.0
MEGLYXYLt: Minimum = 0.0, Maximum = 0.0, Range = 0.0
MGt5: Minimum = -0.16396020370692888, Maximum = -0.1639602037069133, Range = 1.557087792036782e-14
ACtr: Minimum = -141.5020691789213, Maximum = 10.0, Range = 151.5020691789213
HISth: Minimum = 0.0, Maximum = 0.0, Range = 0.0
NH4t_1: Minimum = 9.999999999998362, Maximum = 10.0, Range = 1.637801005927031e-12
NARK: Minimum = 0.0, Maximum = 0.0, Range = 0.0
NO3t: Minimum = 9.999999999997097, Maximum = 10.0, Range = 2.9025670755800093e-12
ILEth: Minimum = -61.72108261342226, Maximum = 0.0, Range = 61.72108261342226
IMPth: Minimum = 0.0, Maximum = 0.0, Range = 0.0
IPDPth: Minimum = -3.674078509709085e-17, Maximum = 3.2717383646542757, Range = 3.2717383646542757
LEUth: Minimum = 0.0, Maximum = 0.0, Range = 0.0
O2t: Minimum = 5.683561245931938, Maximum = 10.0, Range = 4.316438754068062
LNLCth: Minimum = 0.0, Maximum = 0.0, Range = 0.0
MAL_na_th: Minimum = -1000.0, Maximum = 1000.0, Range = 2000.0
ORNt: Minimum = 0.0, Maximum = 0.0, Range = 0.0
MALGLUth: Minimum = 0.0, Maximum = 406.72609368797487, Range = 406.72609368797487
PAIL18111Z160t: Minimum = 0.0, Maximum = 0.0, Range = 0.0
PAIL1819Z160t: Minimum = 0.0, Maximum = 0.0, Range = 0.0
ADEt: Minimum = 0.0, Maximum = 0.0, Range = 0.0
MALOAAth: Minimum = 0.0, Maximum = 406.7260936879681, Range = 406.7260936879681
ADtr: Minimum = 0.0, Maximum = 0.0, Range = 0.0
PE1801819Zt: Minimum = 0.0, Maximum = 0.0, Range = 0.0
PE1801829Z12Zt: Minimum = 0.0, Maximum = 0.0, Range = 0.0
PE1801835Z9Z12Zt: Minimum = 0.0, Maximum = 0.0, Range = 0.0
PE1801845Z9Z12Z15Zt: Minimum = 0.0, Maximum = 0.0, Range = 0.0
PE18111Z1819Zt: Minimum = 0.0, Maximum = 0.0, Range = 0.0
ALLTNti: Minimum = 0.0, Maximum = 0.0, Range = 0.0
ALLTTti: Minimum = 0.0, Maximum = 0.0, Range = 0.0
MANth: Minimum = -316.8907287935559, Maximum = -2.0216806868774224, Range = 314.8690481066785
ARGt5r: Minimum = 0.0, Maximum = 0.0, Range = 0.0
PE18111Z1829Z12Zt: Minimum = 0.0, Maximum = 0.0, Range = 0.0
PE18111Z1835Z9Z12Zt: Minimum = 0.0, Maximum = 0.0, Range = 0.0
PE18111Z1845Z9Z12Z15Zt: Minimum = 0.0, Maximum = 0.0, Range = 0.0
PE1819Z1819Zt: Minimum = 0.0, Maximum = 0.0, Range = 0.0
PE1819Z1829Z12Zt: Minimum = 0.0, Maximum = 0.0, Range = 0.0
CITALt: Minimum = 0.0, Maximum = 0.0, Range = 0.0
METHFth: Minimum = 0.0, Maximum = 0.0, Range = 0.0
PE1819Z1835Z9Z12Zt: Minimum = 0.0, Maximum = 0.0, Range = 0.0
PE1819Z1845Z9Z12Z15Zt: Minimum = 0.0, Maximum = 0.0, Range = 0.0
MG2th: Minimum = 0.1639602037069133, Maximum = 0.16396020370691897, Range = 5.662137425588298e-15
PE1829Z12Z1835Z9Z12Zt: Minimum = 0.0, Maximum = 0.0, Range = 0.0
PG18111Z160t: Minimum = 0.0, Maximum = 0.0, Range = 0.0
CO2t: Minimum = -306.4780551643756, Maximum = 11.16, Range = 317.6380551643756
D_LACt2: Minimum = 0.0, Maximum = 0.0, Range = 0.0
NA1ATPaseh: Minimum = 0.0, Maximum = 1000.0, Range = 1000.0
ETOHt: Minimum = -269.08493747453423, Maximum = 0.0, Range = 269.08493747453423
FE2GTPabc: Minimum = 0.0, Maximum = 0.0, Range = 0.0
FE3t: Minimum = 0.0, Maximum = 0.0, Range = 0.0
FEROt: Minimum = 0.0, Maximum = 0.0, Range = 0.0
PG1819Z160t: Minimum = 0.0, Maximum = 0.0, Range = 0.0
PGP18111Z160t: Minimum = 0.0, Maximum = 0.0, Range = 0.0
PGP1819Z160t: Minimum = 0.0, Maximum = 0.0, Range = 0.0
GLNt: Minimum = 0.0, Maximum = 0.0, Range = 0.0
PIt2r: Minimum = 6.342454042070465, Maximum = 6.342454042069213, Range = -1.2523315717771766e-12
FORt2: Minimum = -86.3822164003761, Maximum = -3.8836619452799014e-14, Range = 86.38221640037605
2PGtm: Minimum = -1000.0000000000001, Maximum = 406.72609368797754, Range = 1406.7260936879777
