CHLSTD78I: Minimum = 0.0, Maximum = 1000.0000000000001, Range = 1000.0000000000001
CHLSTI: Minimum = 0.0, Maximum = 1000.0, Range = 1000.0
CHLSTR: Minimum = 0.0, Maximum = 1000.0, Range = 1000.0
CMK: Minimum = 0.0, Maximum = 33.83111455310866, Range = 33.83111455310866
DDSMSTOLR: Minimum = 0.0, Maximum = 1000.0, Range = 1000.0
DSMSTOLR: Minimum = 0.0, Maximum = 1000.0, Range = 1000.0
DXS: Minimum = 0.0, Maximum = 33.83111455310491, Range = 33.83111455310491
FPPS: Minimum = 0.0, Maximum = 10.70892542948981, Range = 10.70892542948981
FPPSh: Minimum = 0.0, Maximum = 11.277038184369284, Range = 11.277038184369284
GGPS: Minimum = 0.0, Maximum = 3.4762415335302164, Range = 3.4762415335302164
GPPS: Minimum = 0.0, Maximum = 10.708925429489483, Range = 10.708925429489483
GPPSh: Minimum = 0.0, Maximum = 11.277038184369088, Range = 11.277038184369088
HPT: Minimum = 0.0, Maximum = 0.0, Range = 0.0
IDI: Minimum = 0.0, Maximum = 11.277038184368687, Range = 11.277038184368687
IDIh: Minimum = 0.0, Maximum = 11.277038184368745, Range = 11.277038184368745
IDS1: Minimum = 0.0, Maximum = 33.83111455310616, Range = 33.83111455310616
IDS2: Minimum = 0.0, Maximum = 11.277038184368722, Range = 11.277038184368722
LTHSTRLOR: Minimum = -8.904989635011158e-14, Maximum = 1000.0, Range = 1000.0000000000001
OBFOOLOR: Minimum = 0.0, Maximum = 0.0, Range = 0.0
PSPPS: Minimum = 0.0, Maximum = 5.638519092184764, Range = 5.638519092184764
SS: Minimum = 1000.0, Maximum = 1000.0, Range = 0.0
TCYD: Minimum = 0.0, Maximum = 0.0, Range = 0.0
TCYG: Minimum = 0.0, Maximum = 0.0, Range = 0.0
TMTB: Minimum = 0.0, Maximum = 0.0, Range = 0.0
TMTD: Minimum = 0.0, Maximum = 0.0, Range = 0.0
TMTG: Minimum = 0.0, Maximum = 0.0, Range = 0.0
VITD3S: Minimum = 0.0, Maximum = 0.0, Range = 0.0
ZYMSTR: Minimum = 0.0, Maximum = 999.9999999999999, Range = 999.9999999999999
HST: Minimum = 0.0, Maximum = 3.4762415335297088, Range = 3.4762415335297088
MSBQMT: Minimum = 0.0, Maximum = 3.476241533529816, Range = 3.476241533529816
3OACOAR: Minimum = 0.0, Maximum = 10.575729839570544, Range = 10.575729839570544
3OACOAS: Minimum = 0.0, Maximum = 10.575729839569354, Range = 10.575729839569354
COA1819ZD9DS: Minimum = 0.0, Maximum = 10.575729839569354, Range = 10.575729839569354
ECOAH8: Minimum = 0.0, Maximum = 10.575729839571508, Range = 10.575729839571508
ECOAR: Minimum = 0.0, Maximum = 10.575729839570958, Range = 10.575729839570958
FACOAE160: Minimum = 0.0, Maximum = 163.5170536733563, Range = 163.5170536733563
FACOAE180: Minimum = 0.0, Maximum = 9.036011467602732, Range = 9.036011467602732
FACOAE1819Z: Minimum = 0.0, Maximum = 163.51705367336885, Range = 163.51705367336885
FACOAE1829Z12Z: Minimum = 0.0, Maximum = 163.51705367334077, Range = 163.51705367334077
FACOAE1836Z9Z12Z: Minimum = 0.0, Maximum = 163.51705367336533, Range = 163.51705367336533
FACOAE1839Z12Z15Z: Minimum = 0.0, Maximum = 163.51705367335896, Range = 163.51705367335896
LNLCCOAOR: Minimum = 0.0, Maximum = 0.0, Range = 0.0
AMAOTr: Minimum = 0.0, Maximum = 2.9733201273463906e-07, Range = 2.9733201273463906e-07
MALCOAMT: Minimum = 0.0, Maximum = 2.9733201337695293e-07, Range = 2.9733201337695293e-07
OGMEACPS: Minimum = 0.0, Maximum = 2.9733201337695293e-07, Range = 2.9733201337695293e-07
OGMEACPR: Minimum = 0.0, Maximum = 2.9733201337695293e-07, Range = 2.9733201337695293e-07
OGMEACPD: Minimum = 0.0, Maximum = 2.9733201337695293e-07, Range = 2.9733201337695293e-07
EGMEACPR: Minimum = 0.0, Maximum = 2.9733201337695293e-07, Range = 2.9733201337695293e-07
OPMEACPS: Minimum = 0.0, Maximum = 2.973320133769529e-07, Range = 2.973320133769529e-07
OPMEACPR: Minimum = 0.0, Maximum = 2.9733201337695293e-07, Range = 2.9733201337695293e-07
OPMEACPD: Minimum = 0.0, Maximum = 2.97332013376953e-07, Range = 2.97332013376953e-07
EPMEACPR: Minimum = 0.0, Maximum = 1.0659981932084678e-08, Range = 1.0659981932084678e-08
PMEACPE: Minimum = 0.0, Maximum = 1.0659981932935496e-08, Range = 1.0659981932935496e-08
AOXSr2: Minimum = 0.0, Maximum = 1.0659981932935496e-08, Range = 1.0659981932935496e-08
DBTS: Minimum = 0.0, Maximum = 1.0659981932935496e-08, Range = 1.0659981932935496e-08
BTS5: Minimum = 0.0, Maximum = 1.0659981932935495e-08, Range = 1.0659981932935495e-08
BTNL: Minimum = 0.0, Maximum = 0.0, Range = 0.0
BTNL2: Minimum = 0.0, Maximum = 0.0, Range = 0.0
BTNLm: Minimum = 0.0, Maximum = 0.0, Range = 0.0
BTNLm2: Minimum = 0.0, Maximum = 0.0, Range = 0.0
BCACT: Minimum = 0.0, Maximum = 0.0037558225780435876, Range = 0.0037558225780435876
BCOR: Minimum = -140.7946091803551, Maximum = 16.43263933208192, Range = 157.22724851243703
HBCHL: Minimum = -16.432639332081784, Maximum = 140.7946091803557, Range = 157.22724851243748
HBCHLm: Minimum = 0.0, Maximum = 0.0, Range = 0.0
HBCHLR: Minimum = 0.0, Maximum = 0.0, Range = 0.0
HBCO_nadp: Minimum = -16.432639332082722, Maximum = 1000.0, Range = 1016.4326393320828
