OGMEACPR: Minimum = 1.0315027373764558e-07, Maximum = 1.0315021936755857e-07, Range = -5.43700870091042e-14
OGMEACPD: Minimum = 1.0315027373764558e-07, Maximum = 1.0315021936755857e-07, Range = -5.43700870091042e-14
EGMEACPR: Minimum = 1.0315027373764558e-07, Maximum = 1.0315021936755857e-07, Range = -5.43700870091042e-14
OPMEACPS: Minimum = 1.0315027373764557e-07, Maximum = 1.031502701837271e-07, Range = -3.553918464053962e-15
OPMEACPR: Minimum = 1.0315027373764558e-07, Maximum = 1.0315027056165911e-07, Range = -3.175986471381621e-15
OPMEACPD: Minimum = 1.0315027373764558e-07, Maximum = 1.0315027056165911e-07, Range = -3.175986471381621e-15
EPMEACPR: Minimum = 1.0315027373764561e-07, Maximum = 1.0315027056165912e-07, Range = -3.1759864846165107e-15
PMEACPE: Minimum = 1.031502737376456e-07, Maximum = 1.0315027056165912e-07, Range = -3.175986471381621e-15
AOXSr2: Minimum = 1.0315027373764561e-07, Maximum = 1.0315027056165912e-07, Range = -3.1759864846165107e-15
DBTS: Minimum = 1.0315027373764561e-07, Maximum = 1.0315027056165914e-07, Range = -3.175986471381621e-15
BTS5: Minimum = 1.031502737376456e-07, Maximum = 1.0315027056165912e-07, Range = -3.175986471381621e-15
BTNL: Minimum = 0.0, Maximum = -2.477941938744877e-15, Range = -2.477941938744877e-15
BTNL2: Minimum = 0.0, Maximum = 0.0, Range = 0.0
BTNLm: Minimum = 0.0, Maximum = -3.687164422026063e-15, Range = -3.687164422026063e-15
BTNLm2: Minimum = 0.0, Maximum = 0.0, Range = 0.0
BCACT: Minimum = 0.001302968094967184, Maximum = 0.0013029680949670904, Range = -9.345822726825048e-17
BCOR: Minimum = -3.077755215025579, Maximum = -1.379697766215867e-13, Range = 3.077755215025441
HBCHL: Minimum = 2.896277440791125e-15, Maximum = 3.0777552150253515, Range = 3.0777552150253484
HBCHLm: Minimum = 0.0, Maximum = 0.0, Range = 0.0
HBCHLR: Minimum = 0.0, Maximum = 0.0, Range = 0.0
HBCO_nadp: Minimum = -1.2029809981973349e-13, Maximum = 1000.0, Range = 1000.0000000000001
HBCO_nadp_m: Minimum = 0.0, Maximum = 999.9999999999989, Range = 999.9999999999989
HBNOm: Minimum = -1.2063677690255927e-13, Maximum = 0.0, Range = 1.2063677690255927e-13
