,fluxes
THFtm_1,0.013420047361973258
ALLTNtm,0.0
THRNA1tm,0.0
ETOHtx,-2.8239357425030066e-15
THRt2m,0.0
TSULtm,0.0
TYRt2m,0.0
UDPtm,28.822255320607283
URATEtm,0.0
FADH2tx,0.0
FADtx,9.20885197397104e-31
UREAtm_1,0.0
UTPtm_1,-28.82225532060728
ALLTTtm,0.0
VALt2m,-0.8725393454315711
GLYCLTtp,0.0
GLYtx,0.0
2DHPtn,0.0
AMETAMtm,0.0
H2O2tp,0.0
METHFtx,0.0
AMETt2m,-0.5016898781319042
NADPHtxu,0.0
NADPtxu,0.0
AHCYStn,0.0
AMETtn,0.0
AMPtn,0.0
4HPROtg,0.0
AHCYStg,0.0
ARG_Ltm,0.9247425541326055
AMETtg,0.0
APStn,0.0
GMPtn_1,0.0
H2O2tn,0.0
ASNNA1tm,0.0
H2Otn,0.0
ASNtm_1,0.0
Htg,0.0
UDPARAtg,0.0
UDPGALt2g,0.0
NADtn,0.0
NH4tn,0.0
ASPNA1tm,0.0
O2tn,0.0
G5SADs,0.2908464484771906
ASPt2m,1.9122829242006205
PItn,0.0
ATP_3h_tm,0.0
SO4tn,0.0
UDPGtni,0.0
NOS,0.0
UDPtn,0.0
CITtcm,0.0
ACAROtu,0.011795853927398446
CAROtu,3.1949033306127027e-06
NOS1,0.0
CHLAtu,0.0
CITRtm,0.9247425541326055
CHLDA1tu,0.0
CHLDA2tu,0.06208344172314976
CHLDBtu,0.10187676198376364
GCAROtu,0.016765724168581027
NOS2_1,0.0
ORNTArm,0.0
CO2tm,-0.7700063547877432
GGDPtu,0.0
GTHOXtu,0.0
GTHRDtu,0.0
P5CR,0.2908464484771906
COAtim,-2.7576057170298207
P5CRm,0.0
PROTRS,0.0
H2Othu,0.0
Htu,-0.2077290301217339
MG2tu,0.0
NADPHtu,0.043768826414820536
NADPtu,-0.043768826414820536
O2trhu,0.04966675337851975
PDPtu,0.1639602037069134
PPItu,-0.16396020370691336
ALATA_Lm,0.0
ARGSL,0.924742554132607
DNDPt7m,0.0
ARGSS_1,0.924742554132607
ALATL,0.0
ASNTRSm,0.0
DNDPt51m,-0.023857861976841675
DGTPtm,0.0
ASPO1,0.0
ASPOm,0.0
GLU5K,0.29084644847719054
OCT,0.0
DHORStm,-1.0397435787690497
OCTh,0.0
ASPTRSm,0.0
AGTim,0.0
OCTm,0.9247425541326055
AGTix,0.0
DICtm,-2.3462514225021525
ASPATh,-10.285818766870397
ASCBOR,0.005897926963699216
GTHDHu,0.0
UDPGNP,0.0
APOR,0.0
ASAPT,0.0
ASNS1,0.41762566960827247
ASPSE,0.0
AAPT,0.0
BADP,0.0
ACGAM6PS,-1.5220807415706066e-15
D_LACtm,0.0
ACGAMPM,-1.5220807415706064e-15
G6PDA_1,1.5220807415706064e-15
HIDP,0.0
PAO,0.0
PBAL,0.0
PPCOAOm,0.0
GF6PTA_1,0.0
UA4E,3.2270608321479495
SPDH,0.0
UAD,3.227060832147949
BUPN,0.0
DNDPt47m,0.0
DURAD,0.0
DHPD,0.0
44MZYMMO,0.0
UAGDP,-1.5220807415706066e-15
UDPGALOR,0.0
ETOHtm,-39.85419758487705
UMPU,0.0
C14STR,0.0
4MZYMCODH,0.0
4MZYMDM,0.0
4MZYMR,0.0
CADMO,0.0
CADS,0.0
ACGS,2.144572508323057e-16
AABHH,0.0
AGPR,-0.924742554132607
CAS,0.0
CHLSTD78I,0.0
ACGK,0.9247425541326071
FA40COAtm,2.254977816423456
ACODA,0.0
ACOTA,-0.924742554132607
CHLSTI_1,0.0
CHLSTR,0.0
CMK,0.9091668162847495
CMS,0.9091668162847495
CYARTMT,0.0
ACOTAim,0.0
ARGDI,0.0
CYEUOLCYCI,0.0
FADH2tm,0.0
CYEUOLS,0.0
ARGTRS,0.0
DDSMSTOLD,0.0
FADtm,0.0
DDSMSTOLR,0.0
FORtmi,59.44432515653306
G5SD,0.2908464484771906
G5SDym,0.0
DSMSTOLD,0.0
DSMSTOLR,0.0
G5DHx,0.0
ORNTAC,0.9247425541326071
DXRI,0.9091668162847495
DXS,0.9091668162847497
FRDPtm,0.0
GRTT,0.0
FPPSh,0.2272917040711874
GGDR,0.16396020370691336
GGPS_1,0.22729170407118734
GPPSh,0.2272917040711874
HDS,0.9091668162847495
HPT,0.0
DMATT,0.0
GLNtm_1,0.0
IPDDI,0.0
IDIh,0.0
GLU4ABUTtmi,0.0
IDS1,0.6818751122135622
IDS2,0.22729170407118737
GLUNA1tm,0.0
GLUt2m,0.0
LNS14DM,0.0
LNSTLS,0.0
GLYCLTtm,0.0
