,fluxes
GLXtp,0.0
H2Otp,0.0
PHEMEtm,0.0
ACCOAtm,0.0
PIcm,1.9695588942113782
PINA1tm,0.0
NADH_h_tx,0.0
NADtx,0.0
ACSERtmi,0.0
PIt2m,1.4521988308480078
PMTCOAtm,0.0
NH4tp,0.0
ACtm,0.0
PNTORtm,0.0
ADNtm,0.0
PPAtm,0.0
PPCOAtm,-1.9444513205182394
AKG_na_tm,-1.401434747931274
PRONA1tm,0.0
PROtm_1,0.0
PTRCtmi,0.0
O2tp,0.0
PIt2p,0.0
10FTHFtx,0.0
PYRtm,0.0
AKGCITtm,0.0
SELTtm,0.0
ACACtx,0.0
SERNA1tm,0.0
AKGICITtm,0.0
BALAtmr,0.0
SERt2m,1.4014347479312743
ACALDtx,0.0
SO4NA1tm,0.0
ALANA1tm,1.4773064045411481
SPMDtmi,0.0
SPMDtmr,0.0
ALANA1tx,0.0
ALAtx,0.0
SUCFUMtm,-2.4014347479312743
ALAtm,-1.477306404541148
THFtm_1,0.0
ALLTNtm,0.0
THRNA1tm,0.0
ETOHtx,0.0
THRt2m,0.0
TSULtm,0.0
TYRt2m,0.0
UDPtm,5.5388453785422325
URATEtm,0.0
FADH2tx,0.0
FADtx,0.0
UREAtm_1,0.0
UTPtm_1,-5.5388453785422325
ALLTTtm,0.0
VALt2m,0.0
GLYCLTtp,0.0
GLYtx,0.0
2DHPtn,0.0
AMETAMtm,0.0
H2O2tp,0.0
METHFtx,0.0
AMETt2m,0.0
NADPHtxu,0.0
NADPtxu,0.0
AHCYStn,0.0
AMETtn,0.0
AMPtn,0.0
4HPROtg,0.0
AHCYStg,0.0
ARG_Ltm,0.0
AMETtg,0.0
APStn,0.0
GMPtn_1,0.0
H2O2tn,0.0
ASNNA1tm,0.0
H2Otn,0.0
ASNtm_1,0.0
Htg,0.0
UDPARAtg,0.0
UDPGALt2g,0.0
NADtn,0.0
NH4tn,0.0
ASPNA1tm,0.0
O2tn,0.0
G5SADs,0.0
ASPt2m,0.0
PItn,0.0
ATP_3h_tm,2.117087653482846
SO4tn,0.0
UDPGtni,0.0
NOS,0.0
UDPtn,0.0
CITtcm,0.0
ACAROtu,0.0
CAROtu,0.0
NOS1,0.0
