,fluxes
THRNA1tm,0.0
ETOHtx,0.0
THRt2m,0.0
TSULtm,0.0
TYRt2m,0.0
UDPtm,37.71143121800327
URATEtm,0.0
FADH2tx,0.0
FADtx,1.2178259948732102e-15
UREAtm_1,0.0
UTPtm_1,-37.71143121800326
ALLTTtm,0.0
VALt2m,-1.0075754498880936
GLYCLTtp,0.0
GLYtx,0.0
2DHPtn,0.0
AMETAMtm,0.0
H2O2tp,0.0
METHFtx,0.0
AMETt2m,-0.49340314425471826
NADPHtxu,0.0
NADPtxu,0.0
AHCYStn,0.0
AMETtn,0.0
AMPtn,0.0
4HPROtg,0.0
AHCYStg,0.0
ARG_Ltm,0.599840637482015
AMETtg,0.0
APStn,0.0
GMPtn_1,0.0
H2O2tn,0.0
ASNNA1tm,0.0
H2Otn,0.0
ASNtm_1,0.0
Htg,0.0
UDPARAtg,0.0
UDPGALt2g,0.0
NADtn,0.0
NH4tn,0.0
ASPNA1tm,0.0
O2tn,0.0
G5SADs,0.3324606931926473
ASPt2m,2.0891734814641967
PItn,0.0
ATP_3h_tm,0.0
SO4tn,0.0
UDPGtni,0.0
NOS,0.0
UDPtn,0.0
CITtcm,0.0
ACAROtu,9.623690899723929e-05
CAROtu,3.323512858389331e-06
NOS1,-7.6078579550105945e-16
CHLAtu,0.0
CITRtm,0.5998406374820151
CHLDA1tu,0.0
CHLDA2tu,0.050230899674224325
CHLDBtu,0.09184740014589172
GCAROtu,0.00014008122564393988
NOS2_1,-3.8039289775052973e-16
ORNTArm,0.0
CO2tm,-0.9598501101006255
GGDPtu,0.0
GTHOXtu,0.0
GTHRDtu,0.0
P5CR,0.33246069319264726
COAtim,-2.531280827022384
P5CRm,0.0
PROTRS,0.0
H2Othu,0.0
Htu,-0.1424353894035006
MG2tu,0.0
NADPHtu,0.00035708958338449316
NADPtu,-0.00035708958338449316
O2trhu,0.0004052080378831127
PDPtu,0.14207829982011605
PPItu,-0.14207829982011605
ALATA_Lm,0.0
ARGSL,0.5998406374820162
DNDPt7m,0.0
ARGSS_1,0.5998406374820162
ALATL,0.0
ASNTRSm,0.0
DNDPt51m,-0.024818250459711144
DGTPtm,0.0
ASPO1,0.0
ASPOm,0.0
GLU5K,0.3324606931926472
OCT,1.91285670728374e-15
DHORStm,-1.081598031576102
OCTh,0.0
ASPTRSm,0.0
AGTim,0.0
OCTm,0.599840637482015
AGTix,0.0
DICtm,-2.1523609229072114
ASPATh,-19.11288219840854
ASCBOR,4.8118454498619644e-05
GTHDHu,0.0
UDPGNP,0.0
APOR,0.0
ASAPT,0.0
ASNS1,0.44537187201278966
ASPSE,0.0
AAPT,0.0
BADP,0.0
ACGAM6PS,-8.204706782081104e-15
D_LACtm,0.0
ACGAMPM,-8.122332464387011e-15
G6PDA_1,8.056197859995302e-15
HIDP,0.0
PAO,0.0
PBAL,0.0
PPCOAOm,0.0
GF6PTA_1,0.0
UA4E,3.3569648470057056
SPDH,0.0
UAD,3.356964847005705
BUPN,0.0
DNDPt47m,0.0
DURAD,0.0
