,fluxes
OAACITtm,0.0
FA160COAabcp_1,0.0
5MTAtm,0.0
FA40COAabcp,0.0
FORtxi,0.0
OAAICITtm,-276.8484464646055
ORNtm,0.0
ACACtm,0.0
GLXtp,0.0
H2Otp,0.0
PHEMEtm,0.0
ACCOAtm,-829.4137192562727
PIcm,276.8484464646049
PINA1tm,0.0
NADH_h_tx,0.0
NADtx,0.0
ACSERtmi,0.0
PIt2m,0.0
PMTCOAtm,0.0
NH4tp,0.0
ACtm,419.70685962813394
PNTORtm,0.0
ADNtm,1.4950229812636072e-13
PPAtm,0.0
PPCOAtm,0.0
AKG_na_tm,-9.999999999999611
PRONA1tm,0.0
PROtm_1,0.0
PTRCtmi,0.0
O2tp,0.0
PIt2p,0.0
10FTHFtx,0.0
PYRtm,1000.0
AKGCITtm,9.999999999998984
SELTtm,0.0
ACACtx,0.0
SERNA1tm,0.0
AKGICITtm,0.0
BALAtmr,0.0
SERt2m,0.0
ACALDtx,0.0
SO4NA1tm,0.0
ALANA1tm,0.0
SPMDtmi,1000.0
SPMDtmr,-1000.0
ALANA1tx,0.0
ALAtx,0.0
SUCFUMtm,-9.99999999999919
ALAtm,-6.27958585303911e-13
THFtm_1,0.0
ALLTNtm,0.0
THRNA1tm,0.0
ETOHtx,0.0
THRt2m,0.0
TSULtm,0.0
TYRt2m,0.0
UDPtm,-1.0153396557786712e-12
URATEtm,-3.5592383393891507e-13
FADH2tx,0.0
FADtx,0.0
UREAtm_1,0.0
UTPtm_1,1.0153396557786712e-12
ALLTTtm,0.0
VALt2m,0.0
GLYCLTtp,0.0
GLYtx,0.0
2DHPtn,0.0
AMETAMtm,0.0
H2O2tp,0.0
METHFtx,0.0
AMETt2m,0.0
NADPHtxu,0.0
NADPtxu,0.0
AHCYStn,0.0
AMETtn,0.0
AMPtn,0.0
4HPROtg,0.0
AHCYStg,0.0
ARG_Ltm,0.0
AMETtg,0.0
APStn,0.0
GMPtn_1,0.0
H2O2tn,0.0
ASNNA1tm,0.0
H2Otn,0.0
ASNtm_1,0.0
Htg,0.0
UDPARAtg,0.0
UDPGALt2g,0.0
NADtn,0.0
NH4tn,0.0
ASPNA1tm,0.0
O2tn,0.0
G5SADs,0.0
ASPt2m,0.0
PItn,0.0
ATP_3h_tm,0.0
SO4tn,0.0
UDPGtni,0.0
NOS,9.999999999999183
UDPtn,0.0
CITtcm,0.0
ACAROtu,0.0
CAROtu,0.0
NOS1,0.0
CHLAtu,0.0
CITRtm,0.0
CHLDA1tu,0.0
CHLDA2tu,0.0
CHLDBtu,0.0
GCAROtu,0.0
NOS2_1,0.0
ORNTArm,0.0
CO2tm,-883.737834279124
GGDPtu,0.0
GTHOXtu,0.0
GTHRDtu,0.0
P5CR,0.0
COAtim,0.0
P5CRm,0.0
PROTRS,0.0
H2Othu,303.7871162851698
Htu,1000.0
MG2tu,0.0
NADPHtu,0.0
NADPtu,0.0
O2trhu,0.0
PDPtu,0.0
PPItu,0.0
ALATA_Lm,-6.27958585303911e-13
ARGSL,9.999999999999188
DNDPt7m,0.0
ARGSS_1,9.999999999999185
ALATL,0.0
ASNTRSm,0.0
DNDPt51m,0.0
DGTPtm,0.0
ASPO1,0.0
ASPOm,0.0
GLU5K,0.0
OCT,0.0
DHORStm,0.0
OCTh,0.0
ASPTRSm,0.0
AGTim,0.0
OCTm,0.0
AGTix,0.0
DICtm,-9.99999999999919
ASPATh,-1000.0
ASCBOR,0.0
GTHDHu,0.0
UDPGNP,0.0
APOR,0.0
ASAPT,0.0
ASNS1,-2.1346653565691593e-13
ASPSE,0.0
AAPT,0.0
BADP,0.0
ACGAM6PS,-4.269330713138319e-13
D_LACtm,0.0
ACGAMPM,-4.2693307131383185e-13
G6PDA_1,4.2693307131383185e-13
HIDP,0.0
PAO,0.0
PBAL,0.0
PPCOAOm,0.0
GF6PTA_1,0.0
UA4E,0.0
SPDH,0.0
UAD,0.0
BUPN,0.0
DNDPt47m,0.0
DURAD,0.0
DHPD,0.0
44MZYMMO,0.0
UAGDP,-4.269330713138319e-13
UDPGALOR,0.0
ETOHtm,5.810598267592532e-13
UMPU,0.0
C14STR,0.0
4MZYMCODH,0.0
4MZYMDM,198.45805122821855
4MZYMR,819.9125122921425
CADMO,88.01163482028295
CADS,0.0
ACGS,0.0
AABHH,0.0
AGPR,0.0
CAS,0.0
CHLSTD78I,0.0
ACGK,0.0
FA40COAtm,0.0
ACODA,0.0
ACOTA,0.0
CHLSTI_1,0.0
CHLSTR,0.0
CMK,745.9423107070786
CMS,745.9423107070786
CYARTMT,0.0
ACOTAim,0.0
ARGDI,0.0
CYEUOLCYCI,0.0
FADH2tm,0.0
CYEUOLS,0.0
ARGTRS,0.0
DDSMSTOLD,0.0
FADtm,0.0
DDSMSTOLR,0.0
FORtmi,393.11061218548235
G5SD,0.0
G5SDym,0.0
DSMSTOLD,0.0
DSMSTOLR,0.0
G5DHx,0.0
ORNTAC,0.0
DXRI,745.9423107070786
DXS,745.9423107070786
FRDPtm,0.0
GRTT,248.64743690235952
FPPSh,0.0
GGDR,0.0
GGPS_1,0.0
GPPSh,248.6474369023595
HDS,745.9423107070786
HPT,0.0
DMATT,0.0
GLNtm_1,0.0
IPDDI,0.0
IDIh,0.0
